ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*,SUFF3_PFMF,SUFF3_FamSize,SUFF3_Freq_HAL,SUFF3_length,SUFF3_P,SUFF3_P*
3131,typographically,RB,5,"0,2,3",{(typo)}(graph)>ic>>al>>ly>,"77,14285714",36,282037,"70,43478261",116,198105,"67,71964462",1014,1472797,2,"2,78E-05","0,006334002781","74,33566434",1431,4704731,2,"9,14E-06","0,006642978526","47,49741111",2898,3857999,2,"4,48E-05","0,02672640198"
3890,topographically,RB,5,"0,2,3",{(topo)(graph)>ic>}>al>>ly>,75,5,834,"77,39130435",116,198105,"76,011846",1014,1472797,2,"2,78E-05","0,006334002781","81,60839161",1431,4704731,2,"9,14E-06","0,006642978526","57,16258198",2898,3857999,2,"4,48E-05","0,02672640198"
4144,theologically,RB,5,"0,2,3",{(theo)(log)>ic>>al>}>ly>,"60,71428571",29,30978,"55,60747664",215,380513,"50,74037512",1014,1472797,2,"2,78E-05","0,006334002781","59,65034965",1431,4704731,2,"9,14E-06","0,006642978526","32,65447014",2898,3857999,2,"4,48E-05","0,02672640198"
4688,telegraphically,RB,5,"0,2,3",{(tele)(graph)>ic>}>al>>ly>,"89,65517241",30,102708,"94,7826087",116,198105,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
4697,teleologically,RB,5,"0,2,3",{(tele)(log)>ic>>al>}>ly>,"86,20689655",30,102708,"90,65420561",215,380513,"86,5745311",1014,1472797,2,"2,78E-05","0,006334002781","90,55944056",1431,4704731,2,"9,14E-06","0,006642978526","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
4823,terminologically,RB,5,"0,2,3",{(termin)(log)>ic>>al>}>ly>,100,16,51262,"95,79439252",215,380513,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
12974,pornographically,RB,5,"0,2,3",{(porn)(graph)>ic>}>al>>ly>,100,5,13106,"90,43478261",116,198105,"88,45014808",1014,1472797,2,"2,78E-05","0,006334002781","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
13650,philologically,RB,5,"0,2,3",{(philo)(log)>ic>>al>}>ly>,"89,65517241",30,53808,"92,99065421",215,380513,"90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
13687,phonologically,RB,5,"0,2,3",{(phon)(log)>ic>>al>}>ly>,"87,5",41,207292,"87,85046729",215,380513,"83,51431392",1014,1472797,2,"2,78E-05","0,006334002781","88,32167832",1431,4704731,2,"9,14E-06","0,006642978526","68,65723162",2898,3857999,2,"4,48E-05","0,02672640198"
14515,pathologically,RB,5,"0,2,3",{(patho)(log)>ic>}>al>>ly>,"54,16666667",49,81153,"60,28037383",215,380513,"54,88647581",1014,1472797,2,"2,78E-05","0,006334002781","62,65734266",1431,4704731,2,"9,14E-06","0,006642978526","35,38142906",2898,3857999,2,"4,48E-05","0,02672640198"
14888,paleographically,RB,5,"0,2,3",{(paleo)(graph)>ic>}>al>>ly>,100,5,678,"94,7826087",116,198105,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
15885,orthographically,RB,5,"0,2,3",{(ortho)(graph)>ic>}>al>>ly>,"92,85714286",15,8401,"79,13043478",116,198105,"77,59131293",1014,1472797,2,"2,78E-05","0,006334002781","82,93706294",1431,4704731,2,"9,14E-06","0,006642978526","59,06109769",2898,3857999,2,"4,48E-05","0,02672640198"
18157,methodologically,RB,5,"0,2,3",{(method)}(log)>ic>>al>>ly>,75,9,92974,"65,88785047",215,380513,"59,92102665",1014,1472797,2,"2,78E-05","0,006334002781","66,36363636",1431,4704731,2,"9,14E-06","0,006642978526","39,10942354",2898,3857999,2,"4,48E-05","0,02672640198"
19795,lithographically,RB,5,"0,2,3",{(litho)(graph)>ic>}>al>>ly>,100,5,626,"83,47826087",116,198105,"81,93484699",1014,1472797,2,"2,78E-05","0,006334002781","87,13286713",1431,4704731,2,"9,14E-06","0,006642978526","67,06938212",2898,3857999,2,"4,48E-05","0,02672640198"
20781,kaleidoscopically,RB,5,"0,2,3",{(kaleido)(scope)}>ic>>al>>ly>,100,3,204,100,25,22421,"90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
22789,hydroelectrically,RB,5,"0,2,3",(hydro){(electr)>ic>}>al>>ly>,"92,59259259",28,8772,100,28,175489,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
22917,ideologically,RB,5,"0,2,3",{(ideo)(log)>ic>>al>}>ly>,50,5,8562,"28,03738318",215,380513,"23,79072063",1014,1472797,2,"2,78E-05","0,006334002781","34,33566434",1431,4704731,2,"9,14E-06","0,006642978526","15,74042113",2898,3857999,2,"4,48E-05","0,02672640198"
25107,genealogically,RB,5,"0,2,3",{(gen)(log)>ic>>al>}>ly>,"88,23529412",35,84143,"83,17757009",215,380513,"76,011846",1014,1472797,2,"2,78E-05","0,006334002781","81,60839161",1431,4704731,2,"9,14E-06","0,006642978526","57,16258198",2898,3857999,2,"4,48E-05","0,02672640198"
25146,geologically,RB,5,"0,2,3",{(geo)(log)>ic>}>al>>ly>,"89,47368421",20,31762,"57,47663551",215,380513,"51,62882527",1014,1472797,2,"2,78E-05","0,006334002781","60,13986014",1431,4704731,2,"9,14E-06","0,006642978526","33,27580255",2898,3857999,2,"4,48E-05","0,02672640198"
25786,gastronomically,RB,5,"0,2,3",{(gastr)(nomin)>ic>}>al>>ly>,80,6,458,"83,33333333",37,34420,"84,89634748",1014,1472797,2,"2,78E-05","0,006334002781","89,37062937",1431,4704731,2,"9,14E-06","0,006642978526","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
27416,ethnographically,RB,5,"0,2,3",{(ethn)(graph)>ic>}>al>>ly>,90,11,11895,"86,95652174",116,198105,"84,89634748",1014,1472797,2,"2,78E-05","0,006334002781","89,37062937",1431,4704731,2,"9,14E-06","0,006642978526","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
27418,ethnologically,RB,5,"0,2,3",{(ethn)(log)>ic>}>al>>ly>,100,11,11895,"92,52336449",215,380513,"88,45014808",1014,1472797,2,"2,78E-05","0,006334002781","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
27431,etymologically,RB,5,"0,2,3",{(etymo)(log)>ic>>al>}>ly>,"66,66666667",4,830,"67,75700935",215,380513,"61,59921027",1014,1472797,2,"2,78E-05","0,006334002781","67,76223776",1431,4704731,2,"9,14E-06","0,006642978526","40,66275457",2898,3857999,2,"4,48E-05","0,02672640198"
28793,ecologically,RB,5,"0,2,3",{(eco)(log)>ic>}>al>>ly>,100,5,8106,"45,3271028",215,380513,"38,79565647",1014,1472797,2,"2,78E-05","0,006334002781","48,67132867",1431,4704731,2,"9,14E-06","0,006642978526","24,26648257",2898,3857999,2,"4,48E-05","0,02672640198"
31514,cryptographically,RB,5,"0,2,3",{(crypt)(graph)>ic>}>al>>ly>,"57,14285714",8,11515,"43,47826087",116,198105,"43,13919052",1014,1472797,2,"2,78E-05","0,006334002781","51,3986014",1431,4704731,2,"9,14E-06","0,006642978526","26,88988609",2898,3857999,2,"4,48E-05","0,02672640198"
36049,biographically,RB,5,"0,2,3",{(bio)(graph)>ic>}>al>>ly>,"96,55172414",30,41459,"90,43478261",116,198105,"88,45014808",1014,1472797,2,"2,78E-05","0,006334002781","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
37840,astrologically,RB,5,"0,2,3",{(astro)(log)>ic>>al>}>ly>,"94,44444444",19,27795,"70,09345794",215,380513,"62,48766041",1014,1472797,2,"2,78E-05","0,006334002781","68,46153846",1431,4704731,2,"9,14E-06","0,006642978526","41,11149465",2898,3857999,2,"4,48E-05","0,02672640198"
38061,anthropologically,RB,5,"0,2,3",{(anthropo)(log)>ic>>al>}>ly>,"76,47058824",18,5478,"80,8411215",215,380513,"72,75419546",1014,1472797,2,"2,78E-05","0,006334002781","78,67132867",1431,4704731,2,"9,14E-06","0,006642978526","52,84777356",2898,3857999,2,"4,48E-05","0,02672640198"
38308,archaeologically,RB,5,"0,2,3",{(archaeo)(log)>ic>>al>}>ly>,"83,33333333",7,7324,"81,30841121",215,380513,"73,54392892",1014,1472797,2,"2,78E-05","0,006334002781","79,44055944",1431,4704731,2,"9,14E-06","0,006642978526","54,02140145",2898,3857999,2,"4,48E-05","0,02672640198"
38438,aetiologically,RB,5,"0,2,3",{(aeti)(log)>ic>>al>}>ly>,50,3,34,"90,65420561",215,380513,"86,5745311",1014,1472797,2,"2,78E-05","0,006334002781","90,55944056",1431,4704731,2,"9,14E-06","0,006642978526","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
43798,technologically,RB,5,"0,2,3",{(tech)(log)>ic>>al>}>ly>,"57,89473684",20,322084,"21,4953271",215,380513,"18,26258638",1014,1472797,2,"2,78E-05","0,006334002781","29,09090909",1431,4704731,2,"9,14E-06","0,006642978526","13,1170176",2898,3857999,2,"4,48E-05","0,02672640198"
45838,sociologically,RB,5,"0,2,3",{(socio)(log)>ic>}>al>>ly>,80,26,263518,"68,22429907",215,380513,"61,994077",1014,1472797,2,"2,78E-05","0,006334002781","68,18181818",1431,4704731,2,"9,14E-06","0,006642978526","40,83534691",2898,3857999,2,"4,48E-05","0,02672640198"
51538,psychologically,RB,5,"0,2,3",{(psycho)(log)>ic>>al>}>ly>,"22,22222222",37,47211,"20,56074766",215,380513,"16,68311945",1014,1472797,2,"2,78E-05","0,006334002781","27,76223776",1431,4704731,2,"9,14E-06","0,006642978526","12,42664826",2898,3857999,2,"4,48E-05","0,02672640198"
